station_complex,year,month,day_type,ridership
"Grand Central-42 St (S,4,5,6,7)",2023,2023-09-01,1,2200906
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2022,2022-08-01,1,2510510
"Fulton St (A,C,J,Z,2,3,4,5)",2024,2024-04-01,1,1358355
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2024,2024-04-01,1,3108845
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2020,2020-10-01,1,692479
"34 St-Penn Station (A,C,E)",2022,2022-02-01,1,691235
"34 St-Penn Station (A,C,E)",2023,2023-12-01,1,1148745
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2022,2022-10-01,1,1455166
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2022,2022-11-01,1,1523692
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2022,2022-06-01,1,1228148
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2022,2022-06-01,1,1473810
"Grand Central-42 St (S,4,5,6,7)",2021,2021-11-01,1,1427186
"Grand Central-42 St (S,4,5,6,7)",2021,2021-04-01,1,731645
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2024,2024-09-01,1,2577154
"34 St-Penn Station (A,C,E)",2022,2022-10-01,1,1105090
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2024,2024-10-01,1,1442788
"Fulton St (A,C,J,Z,2,3,4,5)",2024,2024-03-01,1,1288166
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2024,2024-03-01,1,2947148
"Grand Central-42 St (S,4,5,6,7)",2021,2021-05-01,1,784069
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2020,2020-09-01,1,941320
"Fulton St (A,C,J,Z,2,3,4,5)",2020,2020-07-01,1,330443
"34 St-Penn Station (A,C,E)",2023,2023-01-01,1,1063266
"Fulton St (A,C,J,Z,2,3,4,5)",2022,2022-04-01,1,998421
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2022,2022-04-01,1,2229042
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2023,2023-10-01,1,3048940
