station_complex,year,month,day_type,ridership
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2024,2024-02-01,2,396215
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2024,2024-02-01,2,231037
"Grand Central-42 St (S,4,5,6,7)",2023,2023-05-01,2,398817
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2022,2022-06-01,2,349256
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2021,2021-01-01,2,136674
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2022,2022-02-01,2,163645
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2023,2023-08-01,2,248255
"Fulton St (A,C,J,Z,2,3,4,5)",2021,2021-06-01,2,149556
"34 St-Penn Station (A,C,E)",2022,2022-08-01,2,208901
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2020,2020-12-01,2,136410
"Grand Central-42 St (S,4,5,6,7)",2020,2020-08-01,2,88447
"Grand Central-42 St (S,4,5,6,7)",2024,2024-06-01,2,548964
"59 St-Columbus Circle (A,B,C,D,1)",2023,2023-07-01,2,307281
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2022,2022-11-01,2,667924
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2022,2022-10-01,2,159956
"34 St-Penn Station (1,2,3)",2021,2021-06-01,2,163539
"34 St-Penn Station (A,C,E)",2021,2021-12-01,2,207043
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2021,2021-04-01,2,175630
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2021,2021-04-01,2,34027
Flushing-Main St (7),2021,2021-06-01,2,161366
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2021,2021-07-01,2,60912
"59 St-Columbus Circle (A,B,C,D,1)",2021,2021-04-01,2,111830
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2024,2024-06-01,2,935465
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2022,2022-07-01,2,393024
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2021,2021-10-01,2,97416
"Fulton St (A,C,J,Z,2,3,4,5)",2021,2021-12-01,2,197658
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2021,2021-08-01,2,280146
"59 St-Columbus Circle (A,B,C,D,1)",2021,2021-03-01,2,104371
Flushing-Main St (7),2024,2024-01-01,2,191591
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2024,2024-10-01,2,253795
Flushing-Main St (7),2023,2023-07-01,2,284100
"Fulton St (A,C,J,Z,2,3,4,5)",2022,2022-07-01,2,254683
