month,division,line,day_type,period,num_timepoints_passing_wait_assessment,num_sched_timepoints,wait assessment
2024-10-01,A DIVISION,1,1,offpeak,21136,27030,0.781946
2024-10-01,A DIVISION,1,2,offpeak,6254,7940,0.78765744
2024-10-01,A DIVISION,1,1,peak,13734,18703,0.7343207
2024-10-01,A DIVISION,1,2,peak,3085,3660,0.84289616
2024-10-01,A DIVISION,2,2,offpeak,6275,8726,0.7191153
2024-10-01,A DIVISION,2,1,offpeak,22491,31236,0.7200346
2024-10-01,A DIVISION,2,1,peak,13912,20191,0.68901986
2024-10-01,A DIVISION,2,2,peak,3320,4519,0.7346758
2024-10-01,A DIVISION,3,2,offpeak,5753,7273,0.7910078
2024-10-01,A DIVISION,3,1,offpeak,18805,24497,0.767645
2024-10-01,A DIVISION,3,1,peak,12030,16422,0.7325539
2024-10-01,A DIVISION,3,2,peak,2775,3521,0.7881284
2024-10-01,A DIVISION,4,1,offpeak,25334,34343,0.7376758
2024-10-01,A DIVISION,4,2,offpeak,5732,7241,0.7916034
2024-10-01,A DIVISION,4,2,peak,3171,3929,0.8070756
2024-10-01,A DIVISION,4,1,peak,16487,24785,0.6652007
2024-10-01,A DIVISION,5,1,offpeak,18806,25986,0.72369736
2024-10-01,A DIVISION,5,2,offpeak,2292,2552,0.89811915
2024-10-01,A DIVISION,5,2,peak,1213,1323,0.91685563
2024-10-01,A DIVISION,5,1,peak,14511,21490,0.6752443
2024-10-01,A DIVISION,6,1,offpeak,24345,32937,0.73913836
2024-10-01,A DIVISION,6,2,offpeak,5460,6779,0.8054285
2024-10-01,A DIVISION,6,1,peak,15344,21912,0.7002556
2024-10-01,A DIVISION,6,2,peak,2877,3397,0.84692377
2024-10-01,A DIVISION,7,1,offpeak,14420,19866,0.7258633
2024-10-01,A DIVISION,7,2,offpeak,2732,3146,0.8684043
2024-10-01,A DIVISION,7,1,peak,10582,15862,0.667129
2024-10-01,A DIVISION,7,2,peak,1421,1633,0.87017757
2024-10-01,B DIVISION,A,1,offpeak,16326,23504,0.6946052
2024-10-01,B DIVISION,A,2,offpeak,4007,5543,0.7228937
2024-10-01,B DIVISION,A,1,peak,11451,17010,0.67319226
2024-10-01,B DIVISION,A,2,peak,2140,2872,0.74512535
2024-10-01,B DIVISION,B,1,offpeak,6927,11419,0.60662055
2024-10-01,B DIVISION,B,1,peak,5411,8886,0.6089354
2024-10-01,B DIVISION,C,2,offpeak,2560,3407,0.7513942
2024-10-01,B DIVISION,C,1,offpeak,11059,16118,0.6861273
2024-10-01,B DIVISION,C,1,peak,6302,8673,0.7266229
2024-10-01,B DIVISION,C,2,peak,1363,1906,0.7151102
2024-10-01,B DIVISION,D,1,offpeak,12254,18130,0.6758963
2024-10-01,B DIVISION,D,2,offpeak,3439,4635,0.7419633
2024-10-01,B DIVISION,D,1,peak,7239,10875,0.6656552
2024-10-01,B DIVISION,D,2,peak,1802,2373,0.7593763
2024-10-01,B DIVISION,E,2,offpeak,2986,3521,0.8480545
2024-10-01,B DIVISION,E,1,offpeak,14168,19390,0.73068595
2024-10-01,B DIVISION,E,2,peak,1532,1743,0.87894434
2024-10-01,B DIVISION,E,1,peak,9538,13787,0.69181114
2024-10-01,B DIVISION,F,1,offpeak,20965,31454,0.6665289
2024-10-01,B DIVISION,F,2,offpeak,4801,6326,0.7589314
2024-10-01,B DIVISION,F,2,peak,2422,3193,0.7585343
2024-10-01,B DIVISION,F,1,peak,14634,22082,0.66271174
2024-10-01,B DIVISION,FS,2,offpeak,883,891,0.99102134
2024-10-01,B DIVISION,FS,1,offpeak,2713,2804,0.96754634
2024-10-01,B DIVISION,FS,1,peak,1534,1590,0.96477985
2024-10-01,B DIVISION,FS,2,peak,486,488,0.99590164
2024-10-01,B DIVISION,G,1,offpeak,11505,14759,0.7795244
2024-10-01,B DIVISION,G,2,offpeak,1852,1976,0.937247
