station_complex,month,day_type,ridership,lines
1 Av (L),1,weekday,332807.3333333333,L
1 Av (L),1,weekend,87170.0,L
1 Av (L),2,weekday,333948.0,L
1 Av (L),2,weekend,93747.33333333333,L
1 Av (L),3,weekday,385790.3333333333,L
1 Av (L),3,weekend,95023.0,L
1 Av (L),4,weekday,358837.6666666667,L
1 Av (L),4,weekend,104880.0,L
1 Av (L),5,weekday,404201.3333333333,L
1 Av (L),5,weekend,105493.33333333333,L
1 Av (L),6,weekday,377802.6666666667,L
1 Av (L),6,weekend,107650.66666666667,L
1 Av (L),7,weekday,347878.0,L
1 Av (L),7,weekend,118359.33333333333,L
1 Av (L),8,weekday,356947.6666666667,L
1 Av (L),8,weekend,102182.33333333333,L
1 Av (L),9,weekday,378415.0,L
1 Av (L),9,weekend,109217.0,L
1 Av (L),10,weekday,396802.6666666667,L
1 Av (L),10,weekend,141745.0,L
1 Av (L),11,weekday,370614.0,L
1 Av (L),11,weekend,105817.5,L
1 Av (L),12,weekday,345665.0,L
1 Av (L),12,weekend,126292.5,L
103 St (1),1,weekday,158970.66666666666,1
103 St (1),1,weekend,41548.666666666664,1
103 St (1),2,weekday,163567.0,1
103 St (1),2,weekend,40081.333333333336,1
103 St (1),3,weekday,191146.66666666666,1
103 St (1),3,weekend,50061.0,1
103 St (1),4,weekday,176436.33333333334,1
103 St (1),4,weekend,43792.666666666664,1
103 St (1),5,weekday,197985.0,1
103 St (1),5,weekend,48102.0,1
103 St (1),6,weekday,182685.33333333334,1
103 St (1),6,weekend,48286.333333333336,1
103 St (1),7,weekday,166153.0,1
103 St (1),7,weekend,47991.0,1
103 St (1),8,weekday,170935.33333333334,1
103 St (1),8,weekend,40749.0,1
103 St (1),9,weekday,180849.33333333334,1
103 St (1),9,weekend,50108.666666666664,1
103 St (1),10,weekday,189792.0,1
103 St (1),10,weekend,54793.333333333336,1
103 St (1),11,weekday,191964.5,1
103 St (1),11,weekend,49847.5,1
103 St (1),12,weekday,180891.5,1
103 St (1),12,weekend,59458.0,1
103 St (6),1,weekday,167294.66666666666,6
103 St (6),1,weekend,31636.0,6
103 St (6),2,weekday,162898.33333333334,6
103 St (6),2,weekend,30132.333333333332,6
103 St (6),3,weekday,195253.33333333334,6
103 St (6),3,weekend,31777.0,6
103 St (6),4,weekday,174291.33333333334,6
103 St (6),4,weekend,34891.0,6
103 St (6),5,weekday,193389.0,6
103 St (6),5,weekend,32496.0,6
103 St (6),6,weekday,172994.66666666666,6
103 St (6),6,weekend,34381.333333333336,6
103 St (6),7,weekday,153604.0,6
103 St (6),7,weekend,32444.0,6
103 St (6),8,weekday,158608.66666666666,6
103 St (6),8,weekend,30981.333333333332,6
